State,<5,9-May,15-Oct,16-20,21-24,25-34,35-44,45-54,55-64,65-74,>74,Unknown,Total Killed
Alabama,11,19,15,100,87,157,129,120,104,60,58,2,862
Alaska,0,1,4,6,5,5,7,9,11,5,3,0,56
Arizona,13,6,14,58,60,131,111,110,113,66,75,2,759
Arkansas,5,5,6,61,66,121,63,98,64,36,46,0,571
California,26,29,43,246,290,448,371,434,356,185,285,7,"2,720"
Colorado,7,6,9,49,44,75,58,70,67,21,44,0,450
Connecticut,3,0,5,29,46,56,44,52,33,18,34,0,320
Delaware,0,2,4,10,12,19,15,18,8,5,8,0,101
Dist of Columbia,1,0,1,0,4,7,4,1,2,3,1,0,24
Florida,23,24,43,212,229,423,303,372,316,218,279,2,"2,444"
Georgia,23,20,36,116,112,184,160,197,177,102,115,5,"1,247"
Hawaii,0,0,3,13,16,19,15,17,8,10,12,0,113
Idaho,4,4,11,22,30,31,22,29,27,15,14,0,209
Illinois,8,8,17,111,94,187,112,143,107,62,78,0,927
Indiana,7,7,18,96,68,106,110,124,80,67,71,0,754
Iowa,4,4,11,49,34,56,48,54,62,30,38,0,390
Kansas,9,10,5,56,47,67,48,59,50,32,48,0,431
Kentucky,15,9,25,65,70,133,120,126,75,63,59,0,760
Louisiana,16,8,19,88,59,145,123,126,75,34,25,3,721
Maine,1,0,5,23,20,26,9,25,19,13,20,0,161
Maryland,2,3,11,48,52,98,67,78,53,38,42,4,496
Massachusetts,1,2,2,30,51,58,34,49,50,28,41,1,347
Michigan,9,9,21,100,84,140,116,169,118,65,111,0,942
Minnesota,4,7,15,40,47,65,48,56,57,27,45,0,411
Mississippi,10,10,12,62,58,118,94,111,81,44,41,0,641
Missouri,11,7,8,92,78,133,116,141,89,64,82,0,821
Montana,1,2,10,29,17,30,20,21,25,22,12,0,189
Nebraska,2,1,10,20,21,32,19,28,21,13,23,0,190
Nevada,2,2,5,18,19,33,48,40,37,20,33,0,257
New Hampshire,0,0,2,15,13,21,17,16,20,8,16,0,128
New Jersey,5,2,8,42,60,98,79,67,58,59,77,1,556
New Mexico,7,4,8,47,34,64,58,40,42,19,26,0,349
New York,12,10,31,125,131,173,145,153,145,80,188,8,"1,201"
North Carolina,23,14,20,153,118,230,213,196,149,98,106,0,"1,320"
North Dakota,1,2,4,7,12,16,23,14,15,3,8,0,105
Ohio,18,12,16,122,108,181,143,168,134,77,101,0,"1,080"
Oklahoma,9,12,18,67,55,109,100,134,72,41,51,0,668
Oregon,5,3,3,33,31,38,37,53,51,20,43,0,317
Pennsylvania,9,12,23,161,144,197,169,226,136,95,151,1,"1,324"
Rhode Island,0,1,2,6,9,6,14,10,2,7,10,0,67
South Carolina,10,4,13,89,84,152,127,128,84,66,49,3,809
South Dakota,1,1,8,14,7,24,15,25,16,14,15,0,140
Tennessee,10,10,17,95,96,163,172,164,138,77,89,1,"1,032"
Texas,46,34,69,345,362,554,446,450,340,176,196,5,"3,023"
Utah,7,5,10,25,21,43,30,29,27,27,29,0,253
Vermont,0,2,1,7,15,10,4,5,9,5,13,0,71
Virginia,4,4,10,83,65,123,126,117,89,51,68,0,740
Washington,8,6,7,52,47,85,55,58,68,30,43,1,460
West Virginia,6,3,3,34,20,53,47,47,44,21,37,0,315
Wisconsin,2,7,12,66,72,81,73,79,73,46,61,0,572
Wyoming,2,0,2,8,16,27,19,36,27,10,8,0,155
National,403,353,675,"3,445","3,340","5,551","4,546","5,092","4,024","2,396","3,128",46,"32,999"
Puerto Rico,4,4,4,31,36,61,43,51,40,38,17,11,340